HSC	EarlyEryth	LateEryth	ProMono	Mono	ncMono	cDC	pDC	ProB	PreB	B cells	Plasma	CD4 Naive	CD4 Memory	CD8 Memory	gamma delta-like T	NK-like T	NK cells
ANGPT1	FAM178B	XPO7	PRTN3	PLBD1	TCF7L2	CD1E	UGCG	CYGB	PCDH9	TNFRSF13C	SEC11C	KRT72	CCR4	CRTAM	SLC4A10	HLA-F	KLRF1
PDLIM1	C21orf58	LPIN2	PLPPR3	CD14	MS4A7	ENHO	CCDC50	SOCS2	CCDC191	SWAP70	JCHAIN	LEPROTL1	TRADD	CNOT6L	IL23R	MIB2	PRF1
MMRN1	KCNH2	EPB41	ELANE	IL1B	LYPD2	CD1C	DNASE1L3	HMGB1	BCL7A	ADAM28	XBP1	TRABD2A	CTLA4	TUBA4A	ATF7IP2	GZMH	SH2D1B
AVP	SYNGR1	TMCC2	AZU1	MNDA	LST1	PKIB	MAP1A	TP53INP1	NIBAN3	FCER2	HSPE1	PLCL1	CORO1B	CD8A	DUSP16	MYO6	IL2RB
MPIG6B	NMU	ARL4A	CALR	IER3	MS4A4A	HLA-DPB1	CLEC4C	LAT2	RUBCNL	PLPP5	SDC1	AC022966	ZFP36L2	TRGC2	ANXA2R	LAIR2	SPON2
TAGLN2	KNL1	BNIP3L	NUCB2	GCA	CDKN1C	C1orf54	TPM2	COL5A1	CD53	HLA-DOB	IGHGP	OXNAD1	CCR10	GZMK	BTG2	AKNA	TMC8
PRKAR2B	EPCAM	IFIT1B	CTSG	LTA4H	NINJ1	HLA-DQB1	SERPINF1	DNTT	BACH2	FCRL2	TNFRSF17	PRKCA	PHACTR2	FYN	RORC	ANXA6	CHST12
CRHBP	CKAP2	CPEB4	SRGN	CTSD	S100A4	BASP1	DERL3	TUBB	ACSM3	HVCN1	FKBP11	FLT3LG	ICOS	SIRPG	TNF	MXRA7	ABHD17A
RAB27B	CENPF	BSG	MS4A3	CYP27A1	ZNF703	TMSB10	MAPKAPK2	HMGN2	CDHR3	CD40	IGHG4	CRYBG1	CD27	DTHD1	DPP4	CTSC	KLRD1
PBX1	ARL6IP1	PIM1	MPO	CYP1B1	LILRA5	CPVL	LILRA4	H2AZ1	ABHD15	ARHGAP24	IGF1	ACVR1C	TBC1D4	ZNF331	EML4	CACNA2D2	CD7
ITGA2B	CENPE	UBR2	AGO3	TMEM170B	CSGALNACT2	HLA-DMA	C12orf75	TUBA1B	TCL1B	MS4A1	IGHG2	ANKRD55	TOB1	CD8B	KIF5C	ASCL2	CD247
PLEK	ATP5IF1	HECTD4	CTSZ	KLF10	LILRB1	GSTP1	SCAMP5	VPREB1	SYK	BANK1	IGHG3	DGKA	TRAT1	TRGV10	CD69	TNIK	NCR1
GRAP2	PRDX2	RBM38	CLEC11A	CCR1	CFD	MRC1	SCT	TK1	VPREB3	ATF7IP	IGHA1	MGAT4A	CREM	TC2N	JUN	CDC42SE2	TTC38
NRIP1	NME4	MKRN1	PRSS57	FCGR2A	COTL1	ALDH2	PPP1R14B	MSI2	CD72	TLR10	IGHA2	TCEA3	CHN1	FCHSD1	BHLHE40	CD3D	PTPN4
ANKRD28	SMC2	FBXO30	HGF	HP	RHOC	SAMHD1	PACSIN1	NME1	PAX5	CD22	IGLV6-57	TRIM8	TNFRSF4	PLAAT4	ELOVL4	TTC16	LGALS9B
LAPTM4B	SMIM1	NFIX	IL1RAP	CRISPLD2	PPM1N	HLA-DPA1	IRF7	H2BC7	CREBRF	OSBPL10	TXLNB	RHOF	CD5	ZNF80	TNFAIP3	GNAL	CCL3
SELP	ASPM	BPGM	RNASE2	CXCL8	OAS1	FCER1A	IRF8	JADE2	AFF3	AIM2	IGHG1	CYTIP	NSG1	LYAR	IL7R	TRGV4	BOK
TSC22D1	ATAD2	RAPGEF2	ZEB2	TLR2	ASAH1	SHTN1	SMPD3	MYB	PIK3C2B	RALGPS2	PDK1	TSHZ2	PBX4	PPP2R2B	SCART1	FGFBP2	SUN2
HLF	MKI67	RIPOR3	SPNS3	MPEG1	LYN	CLEC10A	APP	STMN1	MYO1C	IGHM	FCRL5	ISM1	TTC39C	CD96	SLAMF1	OTUD7A	LDB2
LTC4S	CA2	TOP1	CEP55	EMB	VMO1	IDO1	PLD4	TLE4	DTX1	STAG3	JSRP1	AP3M2	CCR6	BTG1	GPR65	NCALD	PTGDS
