CD4 Naive	CD4 Memory	CD8 Naive	CD8 Memory	CD8 Term Exh	Treg	gamma delta-like	NK cells	NKT cells
PDK1	LYPD2	ITM2C	RASD1	HSPB1	RNF19A	CEBPD	SH2D1B	ATP2B1
AEBP1	CD79B	ARMH1	NINJ1	GLUL	PLEKHG1	P2RX5	LGALS9B	MTSS1
SELL	SELP	HLA-DPB1	SAMD4A	H1-2	ENTPD1	TLE1	FCER1G	SH3BGRL3
TRIM8	CPNE5	PRMT2	TNFSF13B	PARP14	SLC2A3	MYADM	GSTP1	HLA-F
CYTIP	CCR10	GRAP2	MGAT5	H2AC8	ACTG1	P2RY14	BOK	TAGLN2
SOCS2	LMNA	NCK2	TIPARP	MDK	CTLA4	SLC4A10	IGFBP7	EZR
KRT72	TOB1	TRABD2A	SPINK2	CYFIP2	PLEC	IER3	DAB2	SKIL
SNN	SEPTIN9	PLCG1	CDKN1A	ZNF91	STMN1	HSPA5	CD72	OAS3
GADD45A	RNF149	FLT3LG	CYTH4	H2BC7	GAPDH	UBE2S	HAVCR2	ZFAT
ACSM3	NAAA	APBB1	VIM	CRTAM	SPTAN1	APOLD1	IFITM3	MIB2
KLF7	F5	FOXO1	WDR86	ID1	ZFP36L2	ZFP36L1	AKR1C3	LY9
SOCS3	TRADD	ZBTB38	ANXA2R	PREX1	PTPRJ	LTK	HSH2D	PLEK
CRYBG1	RRAS	ACTN1	ZNF699	PTGER4	CD27	NRIP1	MMRN1	PRKCB
PLCL1	HERC5	NELL2	PPP1R16B	H2AC11	TMEM154	MYC	AC005747	MYO6
EVI2A	SAMSN1	RUNX2	RGS2	PTPRE	ISG20	EML4	SIGLEC7	TGFB1
AC022966	ITGB1	SERPINF1	NT5E	NABP1	PTTG1	EGR3	IRF8	GZMH
FHIT	CCR4	NOSIP	TRAF5	HSPE1	DUSP4	ATF7IP2	IL2RB	GPBAR1
LEPROTL1	ADAM19	CYGB	TXNIP	STYK1	IL1RAP	SCAPER	PTPN12	CLEC2D
CCDC191	SH3BP5	CLEC11A	TMEM38A	LYAR	AL031777	TPD52	EFHD2	AKNA
ADTRP	ATP8B2	PDE3B	TP53I11	RASSF6	CREM	IL23R	PTGDS	CTSC
FBP1	PHACTR2	SERPINB9	IL7R	FYN	DAPP1	ZBTB16	PRF1	NDRG1
BAG3	SP140	TNFSF8	MEI1	HEXIM1	SGTB	H1-3	DUT	RESF1
STMN3	TNFRSF4	GIMAP5	CCR6	TRPS1	ZC3H12D	SCART1	PLAC8	SYT11
SC5D	EGLN3	IGSF9B	RAPGEF5	MS4A1	TMEM140	TMEM107	KLRF1	LILRB1
APP	FXYD1	CD200	EPAS1	PLPP5	NUCB2	AIM2	CATSPER1	ZBTB43
PRKCA	ARID5B	PLXNA4	PTGER2	TUBA1A	TCOF1	ATF3	FGR	ABI3
TP53INP1	KLF12	APBA2	TTC9	DZIP3	TBC1D4	CERK	THEMIS2	RAB11FIP4
NUAK2	ABLIM1	SIDT1	MT1F	FAM214A	ARRDC3	KIF5C	BCL2L1	LAIR2
LEF1	CSRNP1	RPS12	H1-1	GCSAM	COTL1	MT1G	TUBB	MXRA7
RGPD5	LPAR6	FHIT	NSG1	CCND1	FAM102A	IL1R1	DENND3	ASCL2
TMEM131L	PDLIM2	TNIK	SCN1B	DTHD1	WNK1	IL4I1	PLCL2	CDC42SE2
SEC31B	RCBTB2	LDLRAP1	GADD45B	CD8A	CEP85L	IER5	CEP78	S100A10
ZNF891	TNFRSF25	PIK3IP1	ADAM19	SGCE	ANXA2	NR4A3	GK5	OAS1
ZNF101	CAMK4	ANKRD55	LCNL1	TUBA4A	TMEM156	BHLHE40	LPCAT1	PPM1K
CNN2	PI16	RPS18	TNFAIP3	H2BC18	S100A11	RUNX2	ICAM1	CRIP1
ZBTB25	RIPOR2	IL23A	KCNA3	TRGC2	SMC4	PHLDA1	MCTP2	CD3D
HES4	RAMP1	EIF2AK1	ZYX	OAS2	RGCC	EGR2	MACF1	SEL1L3
ECHDC2	CDC14A	RPL13	RUNX3	ZEB1	RTKN2	RORC	SPON2	DDX58
AK5	IFIT1	FBLN5	TCAF2	KDM6B	RGL4	ST8SIA4	SUN2	GNAL
DGKA	GPR171	DYRK2	PRKCQ	CXCR4	CORO1B	PLK2	FNDC3B	SETBP1
OXNAD1	FXYD7	GPRIN3	IL23A	GABARAPL1	IFI16	TNF	GSN	CD226
ZNF467	LTB	ARL4C	GPM6A	SOD2	SLAMF6	RAPGEF1	GRASP	TTC16
FMNL3	SGK1	NMT2	SMAD7	IER5L	CD5	DUSP16	CHST12	CD52
MAL	SCML4	RNF157	RALGPS1	EPS8	HMGB2	BTG2	TBXAS1	PAG1
DYRK2	BAIAP3	NPM1	DPP4	HDAC9	TIAM1	RAPGEF5	TMC8	PAPPA
CYP46A1	FYB1	TGFBR2	PRDM1	ATXN1	HMGN2	HLF	ADAM8	ARL6IP1
ACVR1C	RAB3IP	MS4A2	ID2	CLEC2B	CHN1	MYO1C	SNX18	PALLD
KLF2	ARHGAP15	FBXO32	GADD45G	CD96	ICOS	FOS	LPP	TRGV4
LCP2	IFI6	SARAF	CD69	CCR5	ZNF532	ELOVL4	LAT2	A2M
VMO1	GADD45G	MAPK13	FAM153A	ZNF703	TTC39C	CAMK2D	BAZ2B	CADM1
