Gene	Correlation
RCAN2	0.7653539172497367
NR2E1	0.7558685421667035
SOX3	0.7445330133760057
SLC4A9	0.7359931657143587
LRRC26	0.7306654233473374
C1QA	0.7240514703449938
CAV1	0.7197803358585179
GMPPB	0.7159460036140868
ARSJ	0.6936617363892218
ZFP42	0.6928343436913781
GFAP	0.689691978908693
TMED9	0.6881820450309836
C16orf91	0.6874981213590704
MAGEB2	0.6860522115834004
SPOCD1	0.6843854565893827
LYG2	0.6839492779768509
RGS22	0.6806063228004509
CNTNAP3B	0.6756400904901814
GRIN1	0.6720721668874657
GRIA1	0.6715978533100442
CC2D1B	0.6715661716749368
ADAMTS17	0.6694039849601066
FOXC2	0.6639428702494868
SPSB1	0.6596364929584656
C7orf50	0.6581165279999379
FTL	0.6561214661758377
SLC39A7	0.654648684255579
CRELD2	0.6513144109929558
HOXD11	0.6512944792685743
CORO2A	0.6504948384507738
LDHAL6A	0.6490429991470358
ACTG2	0.6482722388705883
DMBT1	0.6463187857201249
BMP8A	0.6426043865164986
RGPD2	0.6423959716702602
RBP1	0.6419403651651785
PCDHGB7	0.638480650992594
MGAT4C	0.6380695397394557
FAM161B	0.6377162318557128
FOXD4	0.6372397635794462
CNTNAP3	0.6334062514869702
IRX6	0.6327369313697184
PCDHB16	0.6306566230058047
TMCO2	0.6275045502297344
PCDHGA8	0.6271328438268204
RGPD1	0.6270176536298154
VKORC1	0.6228577532041294
PARVA	0.6228258389157856
C1orf100	0.621860346284171
FBXO10	0.6211318728625697
L3MBTL2	0.6206029043133285
ECRG4	0.6204329519737073
EML1	0.6191795187871809
GABBR2	0.6178456255237192
GJA3	0.6175320725708727
TRIM14	0.6172014091653134
SFRP1	0.6164779111833938
AP3D1	0.6154239582036412
PCDHB7	0.6153458094809057
RTL4	0.6150269172086082
CACNA1E	0.613406439817953
PCDH7	0.6124042425475544
KCNJ15	0.610551489713658
PPIB	0.610142609608488
CIDEC	0.6091874829715084
ELFN2	0.6078732936694297
PPIAL4H	0.6077384240131997
LRRC4B	0.6074937918598935
SHC2	0.6054635905462148
NDUFAB1	0.6045349929132763
PCDHB12	0.6035132793774598
TMEM171	0.6034937783737873
PGR	0.6030879709315614
PMM2	0.6000852622746926
SSR4	0.5992352449922431
NKX2-4	0.5988126705950713
WFDC10A	0.5987555270735425
IRAK1	0.5981452583560182
IL33	0.5969730307132215
COL26A1	0.5968553093977521
PRSS35	0.5965605532606092
MT-ND6	0.5965234023801447
OR6K3	0.5946115835580673
ZNF280A	0.5945453359681991
MEOX2	0.5938207410627019
SERPINB13	0.5937050502990908
EVPLL	0.5934997114496571
NDUFC1	0.593355599910388
LRRC53	0.593156353936193
TBX18	0.592844065743587
RPUSD1	0.591055578219411
C7	0.5907828639770426
SLC12A1	0.5903119090482839
NAT2	0.5899699014399232
CCDC177	0.5898146701172635
PCDHB10	0.5896168085010749
TSR3	0.5895310582227571
ACSM5	0.5894665364437615
SOX1	0.5883691758659081
CCDC158	0.588183996429544
FOXE1	0.5870393683818744
TRPC5OS	0.5866824030342619
NT5C1A	0.5862267125098168
GLT8D2	0.5861847048562836
CCDC103	0.5861523667347797
PCDHB5	0.5860605879188182
CRACDL	0.5860330098463631
ZAR1	0.5854027767301799
PCDHAC2	0.584477940047723
ELAVL2	0.5836880175260148
KCNA4	0.5821338438739814
PYHIN1	0.5821323323835655
PSMB11	0.5819923536819133
KRT33A	0.5811978101155586
AC013470.2	0.580411029711901
ROS1	0.5800945078700079
SNX7	0.5795075739684907
OR2T6	0.579468799459419
FAM205C	0.5792010180831618
TALDO1	0.5791836448018607
DCAF12L2	0.5790979021277768
PCDHB13	0.5785960825497961
KLHL38	0.577765323314449
PCDHB6	0.57764519952749
KIR3DL2	0.577566657375268
TMEM229A	0.5773313285058045
PCDHGB4	0.5771653623531182
DCAF12L1	0.5763944858408199
SLC7A13	0.5761329133248084
LHFPL4	0.5760365522024462
AFG3L2	0.575425477256375
AARD	0.575412071668321
GSG1L	0.5747112034512806
C4orf54	0.5739645983575111
CCDC185	0.5732710036908484
TGFB2	0.5724015404527573
CLPSL1	0.5723627033333925
BOD1	0.5723274505273247
CTAGE8	0.5721467661887082
ARX	0.5717489282364073
AMTN	0.5706517443207729
WFDC6	0.5705643122616635
TMEM119	0.5701067373452936
MLNR	0.5700959747875571
IGFBPL1	0.56981503226505
ZDHHC11B	0.5693488716685983
STUB1	0.5693251334939272
ATCAY	0.5693177748337048
H1-1	0.5685385775105521
NKX6-3	0.5682929813597095
UGT3A2	0.5681166209699895
CXorf51A	0.5680872568630412
CCDC27	0.5679491385387144
CCL13	0.5678232690081872
PCDHGB6	0.5675469082051793
GXYLT2	0.5673083146191051
TIMM10B	0.5669797377424974
GRIN3B	0.5668275166426561
TMPRSS7	0.5665190282837947
SLC7A3	0.5664973562199652
CCL21	0.5663954018518652
SULT4A1	0.56636072462883
EMILIN3	0.5660324710951431
PCARE	0.565820177020197
TEX28	0.5653399174082674
ZNF716	0.5651260712173788
MYH14	0.5651200278731499
P4HB	0.5644064294418709
PCDHB14	0.5643957045733434
POU4F2	0.5639208443086026
PLPP2	0.5637632571189403
KDELR2	0.563740086758095
IFNA4	0.5635931072023673
KIAA0408	0.5621151197623466
RIMS4	0.5613784816733857
SLC66A2	0.560911788462411
MROH6	0.5608614710413001
DCLK3	0.5608335065852477
RNF212	0.5602641957589687
NCLN	0.5601163169949922
RHOT2	0.5591013508154506
CHID1	0.5585700255110663
L1TD1	0.5585219495041258
CRX	0.5568359813773622
ECEL1	0.5566760292552967
TKTL1	0.5562823183642458
SLC35B1	0.5556272194821477
P3H1	0.5553017053619548
CXCL12	0.5546957148949775
LGI1	0.55356594553880345
CATSPERB	0.5531330072892475
CTXND1	0.5527542792628576
PCDHGA12	0.5527191918683101
FAM205A	0.5517179821795543
NIM1K	0.5514857236788727
FLNC	0.5510136248040407
ITPRID1	0.5509128302246334
FZD9	0.5505161001795871
TNP2	0.5501511363038696
SEPTIN14	0.550093164290599
PGLYRP1	0.5498276488503114
OR13C5	0.5498066803924387
GSDMC	0.5496833263163172
PLEKHJ1	0.5490800278146223
SLC13A1	0.548773035419693
PRPS1L1	0.5483473743625683
PNLIPRP3	0.548205930691721
DNAJC25	0.547927121138214
RTP2	0.5475625968723729
PCDHB8	0.5475067192493059
KCNA10	0.5469171625403174
LARP1B	0.5465897617937954
SDF4	0.5460945305616258
KIAA2013	0.5449918575165185
EDNRB	0.5444830771608888
PPIAL4E	0.5438983876047437
NEUROG1	0.5438685722553777
GATD1	0.5430459617328548
MLPH	0.5429160061856699
CNTN5	0.5425024362471407
SIM1	0.5424438859174969
ZNF354C	0.5423694490073024
ZIC5	0.5422377306351449
KCNK15	0.5421977212256734
PDIA4	0.541682179476473
PALB2	0.5415240863590101
PCDHB3	0.5414921380771167
IL36A	0.5412532186110602
WNT4	0.5409251391647297
LRRC15	0.5405970702723107
SPATA31E1	0.5404414205611451
RPN2	0.5398685166149546
KLRD1	0.5394766621330838
SP9	0.53874200739868
HMG20B	0.5385663723629649
SYN2	0.5378749910439371
BOD1L2	0.5358575865680032
OR2A1	0.5355925145098952
RSPO1	0.5353515288009267
TM4SF18	0.5352358397926864
PCDHB2	0.5349107830865392
SNX31	0.5331790919871268
RGS7BP	0.5329534501571991
MAN1B1	0.5323251170377712
SPATA22	0.5319563970995507
IL20RA	0.5315833044363679
MRPS34	0.5315743992624856
ANKS3	0.5313713686893985
USH1C	0.5309385826183152
SLPI	0.5301100508649432
HEPACAM	0.5299343245351716
HAO2	0.5290973468658279
